City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Alyangula,AU,2022-05-10 19:26:58,-13.8483,136.4192,78.67,89,100,4.61
159,Buraydah,SA,2022-05-10 19:26:22,26.326,43.975,88.25,13,26,7.36
160,Paamiut,GL,2022-05-10 19:26:59,61.994,-49.6678,33.87,90,100,8.75
161,Maarianhamina,AX,2022-05-10 19:26:59,60.0973,19.9348,44.46,87,100,19.57
162,Wamba,NG,2022-05-10 19:27:00,8.9333,8.6,78.71,71,78,3.38
163,Basco,PH,2022-05-10 19:27:00,20.4487,121.9702,83.5,72,20,19.66
164,Leningradskiy,RU,2022-05-10 19:27:01,69.3833,178.4167,32.63,85,100,5.73
165,Klaksvik,FO,2022-05-10 19:27:01,62.2266,-6.589,47.32,82,91,11.65
166,Biltine,TD,2022-05-10 19:27:02,14.5333,20.9167,94.08,9,21,5.86
167,Goure,NE,2022-05-10 19:22:08,13.9835,10.2704,97.02,25,99,11.01
168,Burgthann,DE,2022-05-10 19:27:02,49.352,11.3115,68.32,69,100,3.71
169,Victoria,HK,2022-05-10 19:26:10,22.2855,114.1577,80.33,92,100,8.01
170,Darhan,MN,2022-05-10 19:27:03,49.4867,105.9228,34.84,42,94,3.8
171,Bilibino,RU,2022-05-10 19:27:03,68.0546,166.4372,28.74,94,97,4.18
172,San Patricio,US,2022-05-10 19:27:04,28.017,-97.5169,92.12,53,100,19.35
173,Tutoia,BR,2022-05-10 19:27:04,-2.7619,-42.2744,76.89,89,100,3.42
174,Morro Bay,US,2022-05-10 19:27:05,35.3658,-120.8499,64.51,54,2,8.01
175,Mehamn,NO,2022-05-10 19:27:05,71.0357,27.8492,35.51,94,100,16.31
176,Marawi,PH,2022-05-10 19:27:06,7.9986,124.2928,69.31,96,100,2.91
177,Chifeng,CN,2022-05-10 19:24:12,42.2683,118.9636,44.55,56,97,1.32
178,Manzanillo,CU,2022-05-10 19:28:06,20.3433,-77.1167,89.49,49,96,8.95
179,La Ronge,CA,2022-05-10 19:28:07,55.1001,-105.2842,55.62,28,75,14.97
180,Ialibu,PG,2022-05-10 19:28:07,-6.2821,143.9935,54.68,79,96,3.53
181,Calvinia,ZA,2022-05-10 19:28:07,-31.4707,19.776,52.34,48,100,3.94
182,East London,ZA,2022-05-10 19:28:08,-33.0153,27.9116,65.88,64,100,9.86
183,Simbahan,PH,2022-05-10 19:28:08,6.3032,120.5836,80.74,83,100,10.16
184,Santa Teresa,VE,2022-05-10 19:28:09,10.2341,-66.6631,91.42,45,97,4.18
185,Biak,ID,2022-05-10 19:28:09,-0.9131,122.8766,76.19,86,100,2.59
186,Maniitsoq,GL,2022-05-10 19:28:10,65.4167,-52.9,32.07,75,100,5.61
187,Uyemskiy,RU,2022-05-10 19:28:10,64.4743,40.8524,48.25,42,20,4.47
188,Pemangkat,ID,2022-05-10 19:28:10,1.1667,108.9667,79.92,84,100,3.49
189,Lorengau,PG,2022-05-10 19:28:11,-2.0226,147.2712,82.45,76,100,9.4
190,Lobito,AO,2022-05-10 19:28:11,-12.3481,13.5456,76.3,85,5,1.25
191,Sao Filipe,CV,2022-05-10 19:28:12,14.8961,-24.4956,72.81,81,7,6.76
192,Grand Gaube,MU,2022-05-10 19:28:12,-20.0064,57.6608,76.37,78,26,1.99
193,Cayenne,GF,2022-05-10 19:28:13,4.9333,-52.3333,84.09,3,75,11.5
194,Maunabo,PR,2022-05-10 19:28:13,18.0072,-65.8993,87.62,79,70,13.29
195,Ojinaga,MX,2022-05-10 19:28:14,29.5667,-104.4167,99.41,17,0,3.44
196,Cidreira,BR,2022-05-10 19:28:14,-30.1811,-50.2056,63.27,94,100,8.86
197,Gobabis,NA,2022-05-10 19:28:14,-22.45,18.9667,65.8,21,0,7.02
198,Varhaug,NO,2022-05-10 19:28:15,58.6147,5.6457,51.35,92,54,10.47
199,College,US,2022-05-10 19:28:15,64.8569,-147.8028,35.58,91,100,12.66
200,Marzuq,YE,2022-05-10 19:28:16,14.4,46.4667,76.46,56,19,6.98
201,Nantai,CN,2022-05-10 19:28:16,40.9241,122.8044,52.32,75,100,7.54
202,Fukue,JP,2022-05-10 19:28:17,32.6881,128.8419,65.07,94,100,10.0
203,Gat,IL,2022-05-10 19:28:17,31.61,34.7642,68.4,61,0,4.21
204,Norfolk,US,2022-05-10 19:25:27,42.1668,-71.2495,64.45,32,0,13.8
205,Caucaia,BR,2022-05-10 19:28:18,-3.7361,-38.6531,85.3,73,75,8.05
206,Imuris,MX,2022-05-10 19:28:18,30.7833,-110.8667,86.95,9,2,17.34
